,income_group,region_group,literacy_1524_m,Sex,Location,Wealth,year,Completed_UpSec,Completed_LowSec,Completed_Prim
25,Low income countries,Central and Southern Asia,0.9222,Male,Urban,,2015.0,49.21,63.46000000000001,78.60000000000001
26,Low income countries,Central and Southern Asia,0.1392,Female,Rural,Quintile 1,2015.0,4.95,12.879999999999999,30.509999999999998
27,Low income countries,Central and Southern Asia,0.1266,Female,Rural,Quintile 2,2015.0,5.54,14.77,27.900000000000002
28,Low income countries,Central and Southern Asia,0.1402,Female,Rural,Quintile 3,2015.0,6.25,13.13,24.67
29,Low income countries,Central and Southern Asia,0.28,Female,Rural,Quintile 4,2015.0,10.0,26.369999999999997,41.199999999999996
30,Low income countries,Central and Southern Asia,0.6423,Female,Rural,Quintile 5,2015.0,61.260000000000005,48.13,56.63
31,Low income countries,Central and Southern Asia,0.2799,Female,Urban,Quintile 1,2015.0,18.18,20.23,47.85
32,Low income countries,Central and Southern Asia,0.2995,Female,Urban,Quintile 2,2015.0,15.8,26.1,64.69
33,Low income countries,Central and Southern Asia,0.3461,Female,Urban,Quintile 3,2015.0,14.23,30.15,30.880000000000003
34,Low income countries,Central and Southern Asia,0.2963,Female,Urban,Quintile 4,2015.0,12.34,30.95,57.9
35,Low income countries,Central and Southern Asia,0.6422,Female,Urban,Quintile 5,2015.0,34.56,53.32,66.60000000000001
36,Low income countries,Central and Southern Asia,0.6826,Male,Rural,Quintile 1,2015.0,20.18,34.81,55.879999999999995
37,Low income countries,Central and Southern Asia,0.6835,Male,Rural,Quintile 2,2015.0,24.7,43.059999999999995,62.150000000000006
38,Low income countries,Central and Southern Asia,0.7122,Male,Rural,Quintile 3,2015.0,22.25,43.02,59.78
39,Low income countries,Central and Southern Asia,0.8628,Male,Rural,Quintile 4,2015.0,39.82,51.67,77.09
40,Low income countries,Central and Southern Asia,0.9636,Male,Rural,Quintile 5,2015.0,55.42,79.31,85.6
41,Low income countries,Central and Southern Asia,0.6717,Male,Urban,Quintile 3,2015.0,28.199999999999996,49.54,59.29
42,Low income countries,Central and Southern Asia,0.8177,Male,Urban,Quintile 4,2015.0,30.09,47.74,67.94
43,Low income countries,Central and Southern Asia,0.9487,Male,Urban,Quintile 5,2015.0,54.74,67.77,83.36
44,Low income countries,Central and Southern Asia,0.4884,,Rural,Quintile 1,2015.0,12.61,23.97,44.46
45,Low income countries,Central and Southern Asia,0.4903,,Rural,Quintile 2,2015.0,14.81,28.849999999999998,45.58
46,Low income countries,Central and Southern Asia,0.5326,,Rural,Quintile 3,2015.0,14.09,28.65,42.86
47,Low income countries,Central and Southern Asia,0.699,,Rural,Quintile 4,2015.0,25.61,38.87,59.34
48,Low income countries,Central and Southern Asia,0.8894,,Rural,Quintile 5,2015.0,58.68,62.59,70.46
49,Low income countries,Central and Southern Asia,0.5827,,Urban,Quintile 1,2015.0,30.19,39.78,51.51
50,Low income countries,Central and Southern Asia,0.6358,,Urban,Quintile 2,2015.0,21.32,41.74,67.82000000000001
51,Low income countries,Central and Southern Asia,0.5566,,Urban,Quintile 3,2015.0,23.150000000000002,40.87,45.61
52,Low income countries,Central and Southern Asia,0.6446,,Urban,Quintile 4,2015.0,20.01,38.98,62.8
53,Low income countries,Central and Southern Asia,0.8611,,Urban,Quintile 5,2015.0,44.16,60.49,74.85000000000001
54,Low income countries,Central and Southern Asia,0.6487,,,,2015.0,22.24,39.72,67.05
55,Low income countries,Central and Southern Asia,0.336,,,,2015.0,8.23,9.43,26.87
56,Low income countries,Central and Southern Asia,0.7316,,,,2015.0,25.509999999999998,41.04,55.88999999999999
57,Low income countries,Central and Southern Asia,0.6548,,,,2015.0,27.250000000000004,41.93,60.4
58,Low income countries,Central and Southern Asia,0.6571,,,,2015.0,29.12,48.02,64.3
59,Low income countries,Central and Southern Asia,0.6277,,,,2015.0,27.66,43.55,69.31
60,Low income countries,Central and Southern Asia,0.3872,,,,2015.0,8.86,13.469999999999999,33.660000000000004
61,Low income countries,Central and Southern Asia,0.7499,,,,2015.0,30.75,48.79,66.45
62,Low income countries,Central and Southern Asia,0.5538,,,,2015.0,17.669999999999998,42.14,61.129999999999995
63,Low income countries,Central and Southern Asia,0.6782,,,,2015.0,22.95,41.31,66.89
64,Low income countries,Central and Southern Asia,0.5405,,,,2015.0,13.71,20.580000000000002,42.57
65,Low income countries,Central and Southern Asia,0.5532,,,,2015.0,18.11,27.12,44.89
66,Low income countries,Central and Southern Asia,0.9312,,,,2015.0,48.730000000000004,65.13,71.05
67,Low income countries,Central and Southern Asia,0.839,,,,2015.0,38.29,55.989999999999995,72.64
68,Low income countries,Central and Southern Asia,0.3672,,,,2015.0,7.969999999999999,14.34,27.41
69,Low income countries,Central and Southern Asia,0.818,,,,2015.0,51.71,59.330000000000005,76.53
70,Low income countries,Central and Southern Asia,0.6166,,,,2015.0,20.78,27.01,44.519999999999996
71,Low income countries,Central and Southern Asia,0.651,,,,2015.0,31.41,36.49,62.980000000000004
72,Low income countries,Central and Southern Asia,0.6893,,,,2015.0,13.51,36.03,45.64
73,Low income countries,Central and Southern Asia,0.5359,,,,2015.0,17.119999999999997,23.43,44.42
74,Low income countries,Central and Southern Asia,0.9011,,,,2015.0,33.32,49.309999999999995,59.61
75,Low income countries,Central and Southern Asia,0.6604,,,,2015.0,21.790000000000003,40.98,55.269999999999996
76,Low income countries,Central and Southern Asia,0.3911,,,,2015.0,9.719999999999999,16.869999999999997,39.76
77,Low income countries,Central and Southern Asia,0.5311,,,,2015.0,11.52,26.979999999999997,43.07
78,Low income countries,Central and Southern Asia,0.5881,,,,2015.0,14.940000000000001,28.89,42.46
79,Low income countries,Central and Southern Asia,0.583,,,,2015.0,15.920000000000002,30.44,54.09
80,Low income countries,Central and Southern Asia,0.839,,,,2015.0,38.48,61.71,78.44
81,Low income countries,Central and Southern Asia,0.734,,,,2015.0,31.540000000000003,46.44,58.02
82,Low income countries,Central and Southern Asia,0.567,,,,2015.0,17.75,33.660000000000004,52.790000000000006
83,Low income countries,Central and Southern Asia,0.5834,,,,2015.0,9.5,22.33,44.61
84,Low income countries,Central and Southern Asia,0.5331,,,,2015.0,22.869999999999997,35.83,53.2
85,Low income countries,Central and Southern Asia,0.3478,,,,2015.0,3.2399999999999998,6.859999999999999,10.15
86,Low income countries,Central and Southern Asia,0.6953,,,,2015.0,12.5,26.229999999999997,39.51
87,Low income countries,Central and Southern Asia,0.7868,,,,2015.0,27.85,38.54,50.59
88,Low income countries,Central and Southern Asia,0.2897,Female,,,2015.0,14.99,25.169999999999998,40.35
89,Low income countries,Central and Southern Asia,0.804,Male,,,2015.0,33.52,48.72,67.31
90,Low income countries,Central and Southern Asia,0.1758,Female,,,2015.0,,,
91,Low income countries,Central and Southern Asia,0.4464,Female,,,2015.0,21.69,31.759999999999998,47.02
92,Low income countries,Central and Southern Asia,0.0641,Female,,,2015.0,1.04,,15.39
93,Low income countries,Central and Southern Asia,0.0464,Female,,,2015.0,,,
94,Low income countries,Central and Southern Asia,0.132,Female,,,2015.0,2.87,6.2,15.590000000000002
95,Low income countries,Central and Southern Asia,0.4064,Female,,,2015.0,17.8,20.25,50.31
96,Low income countries,Central and Southern Asia,0.2084,Female,,,2015.0,,,16.25
97,Low income countries,Central and Southern Asia,0.416,Female,,,2015.0,5.4,44.58,42.6
98,Low income countries,Central and Southern Asia,0.6168,Male,,,2015.0,,,
99,Low income countries,Central and Southern Asia,0.865,Male,,,2015.0,33.410000000000004,54.87,85.54
100,Low income countries,Central and Southern Asia,0.8498,Male,,,2015.0,,61.6,69.91000000000001
101,Low income countries,Central and Southern Asia,0.6424,Male,,,2015.0,,,57.07
102,Low income countries,Central and Southern Asia,0.7387,Male,,,2015.0,23.23,45.65,63.29
103,Low income countries,Central and Southern Asia,0.8429,Male,,,2015.0,31.130000000000003,56.76,73.75
104,Low income countries,Central and Southern Asia,0.8632,Male,,,2015.0,,36.11,61.019999999999996
105,Low income countries,Central and Southern Asia,0.8907,Male,,,2015.0,28.560000000000002,52.739999999999995,73.29
106,Low income countries,Central and Southern Asia,0.4164,Female,,,2015.0,16.89,32.82,62.63999999999999
107,Low income countries,Central and Southern Asia,0.0444,Female,,,2015.0,1.3599999999999999,2.75,18.3
108,Low income countries,Central and Southern Asia,0.2667,Female,,,2015.0,9.16,23.59,37.57
109,Low income countries,Central and Southern Asia,0.3849,Female,,,2015.0,19.49,38.46,53.6
110,Low income countries,Central and Southern Asia,0.3593,Female,,,2015.0,11.92,29.15,54.52
111,Low income countries,Central and Southern Asia,0.4357,Female,,,2015.0,21.65,34.07,63.43
112,Low income countries,Central and Southern Asia,0.1074,Female,,,2015.0,4.44,3.2199999999999998,13.320000000000002
113,Low income countries,Central and Southern Asia,0.5004,Female,,,2015.0,30.5,54.010000000000005,57.24
114,Low income countries,Central and Southern Asia,0.1552,Female,,,2015.0,4.15,21.099999999999998,42.84
115,Low income countries,Central and Southern Asia,0.2164,Female,,,2015.0,1.87,19.53,52.27
116,Low income countries,Central and Southern Asia,0.1062,Female,,,2015.0,4.31,5.94,16.48
117,Low income countries,Central and Southern Asia,0.3073,Female,,,2015.0,15.790000000000001,23.16,39.04
118,Low income countries,Central and Southern Asia,0.6923,Female,,,2015.0,39.01,43.14,55.63
119,Low income countries,Central and Southern Asia,0.581,Female,,,2015.0,30.89,45.839999999999996,58.330000000000005
120,Low income countries,Central and Southern Asia,0.0608,Female,,,2015.0,0.7100000000000001,2.45,8.17
121,Low income countries,Central and Southern Asia,0.4694,Female,,,2015.0,26.650000000000002,37.419999999999995,61.82
122,Low income countries,Central and Southern Asia,0.0396,Female,,,2015.0,2.5,4.9399999999999995,11.64
123,Low income countries,Central and Southern Asia,0.1132,Female,,,2015.0,6.6000000000000005,5.66,31.630000000000003
124,Low income countries,Central and Southern Asia,0.2098,Female,,,2015.0,11.61,17.0,28.4
125,Low income countries,Central and Southern Asia,0.1095,Female,,,2015.0,6.329999999999999,11.52,21.02
126,Low income countries,Central and Southern Asia,0.5896,Female,,,2015.0,15.57,25.61,33.910000000000004
127,Low income countries,Central and Southern Asia,0.2034,Female,,,2015.0,9.34,23.84,37.53
128,Low income countries,Central and Southern Asia,0.2738,Female,,,2015.0,9.28,9.33,29.4
129,Low income countries,Central and Southern Asia,0.0589,Female,,,2015.0,0.76,5.11,14.93
130,Low income countries,Central and Southern Asia,0.0308,Female,,,2015.0,1.01,2.29,4.15
131,Low income countries,Central and Southern Asia,0.0478,Female,,,2015.0,2.78,2.06,11.67
132,Low income countries,Central and Southern Asia,0.45,Female,,,2015.0,17.68,44.04,65.03
133,Low income countries,Central and Southern Asia,0.2883,Female,,,2015.0,17.380000000000003,21.73,32.6
134,Low income countries,Central and Southern Asia,0.2386,Female,,,2015.0,4.17,16.1,42.449999999999996
135,Low income countries,Central and Southern Asia,0.3529,Female,,,2015.0,7.739999999999999,14.93,37.08
136,Low income countries,Central and Southern Asia,0.3002,Female,,,2015.0,19.33,28.599999999999998,42.6
137,Low income countries,Central and Southern Asia,0.0522,Female,,,2015.0,2.17,1.59,1.16
138,Low income countries,Central and Southern Asia,0.0812,Female,,,2015.0,1.3299999999999998,2.52,10.92
139,Low income countries,Central and Southern Asia,0.3524,Female,,,2015.0,20.76,,27.32
140,Low income countries,Central and Southern Asia,0.805,Male,,,2015.0,28.449999999999996,46.129999999999995,70.97
141,Low income countries,Central and Southern Asia,0.567,Male,,,2015.0,15.559999999999999,18.029999999999998,36.059999999999995
142,Low income countries,Central and Southern Asia,0.9109,Male,,,2015.0,42.28,61.809999999999995,74.22
143,Low income countries,Central and Southern Asia,0.7969,Male,,,2015.0,34.449999999999996,45.32,67.52
144,Low income countries,Central and Southern Asia,0.8338,Male,,,2015.0,40.48,65.47,75.22999999999999
145,Low income countries,Central and Southern Asia,0.7994,Male,,,2015.0,36.8,56.269999999999996,78.07
146,Low income countries,Central and Southern Asia,0.5305,Male,,,2015.0,12.73,26.040000000000003,58.67
147,Low income countries,Central and Southern Asia,0.8651,Male,,,2015.0,31.04,42.61,75.75
148,Low income countries,Central and Southern Asia,0.7098,Male,,,2015.0,31.09,60.370000000000005,79.64
149,Low income countries,Central and Southern Asia,0.8084,Male,,,2015.0,40.550000000000004,60.01,81.10000000000001
150,Low income countries,Central and Southern Asia,0.7296,Male,,,2015.0,22.68,34.35,63.580000000000005
151,Low income countries,Central and Southern Asia,0.6827,Male,,,2015.0,20.44,31.16,50.739999999999995
152,Low income countries,Central and Southern Asia,0.9782,Male,,,2015.0,57.16,80.58999999999999,84.6
153,Low income countries,Central and Southern Asia,0.9485,Male,,,2015.0,46.86,66.2,86.57000000000001
154,Low income countries,Central and Southern Asia,0.5592,Male,,,2015.0,16.77,27.88,46.92
155,Low income countries,Central and Southern Asia,0.955,Male,,,2015.0,73.82,82.47,91.47
156,Low income countries,Central and Southern Asia,0.8245,Male,,,2015.0,39.900000000000006,51.22,70.03
157,Low income countries,Central and Southern Asia,0.8885,Male,,,2015.0,53.300000000000004,65.85,86.07000000000001
158,Low income countries,Central and Southern Asia,0.8871,Male,,,2015.0,15.15,49.75,62.5
159,Low income countries,Central and Southern Asia,0.7001,Male,,,2015.0,25.929999999999996,35.82,61.69
160,Low income countries,Central and Southern Asia,0.9615,Male,,,2015.0,49.57,71.33,79.25
161,Low income countries,Central and Southern Asia,0.8442,Male,,,2015.0,36.21,58.650000000000006,75.46000000000001
162,Low income countries,Central and Southern Asia,0.47,Male,,,2015.0,10.17,24.43,53.03
163,Low income countries,Central and Southern Asia,0.8584,Male,,,2015.0,25.929999999999996,55.88999999999999,65.81
164,Low income countries,Central and Southern Asia,0.778,Male,,,2015.0,32.37,57.07,76.14999999999999
165,Low income countries,Central and Southern Asia,0.7708,Male,,,2015.0,29.89,49.95,78.55
166,Low income countries,Central and Southern Asia,0.928,Male,,,2015.0,58.77,77.78,89.19
167,Low income countries,Central and Southern Asia,0.9003,Male,,,2015.0,47.99,68.23,85.77
168,Low income countries,Central and Southern Asia,0.7408,Male,,,2015.0,29.659999999999997,49.25,61.970000000000006
169,Low income countries,Central and Southern Asia,0.8763,Male,,,2015.0,11.899999999999999,31.3,51.690000000000005
170,Low income countries,Central and Southern Asia,0.7781,Male,,,2015.0,26.479999999999997,43.93,64.25
171,Low income countries,Central and Southern Asia,0.5303,Male,,,2015.0,5.09,15.52,20.0
172,Low income countries,Central and Southern Asia,0.8333,Male,,,2015.0,24.4,51.78,62.44
173,Low income countries,Central and Southern Asia,0.1445,Female,,Quintile 1,2015.0,5.3,13.22,31.509999999999998
174,Low income countries,Central and Southern Asia,0.1308,Female,,Quintile 2,2015.0,5.9799999999999995,15.27,29.12
175,Low income countries,Central and Southern Asia,0.1464,Female,,Quintile 3,2015.0,6.54,13.889999999999999,24.98
176,Low income countries,Central and Southern Asia,0.2836,Female,,Quintile 4,2015.0,10.6,27.35,45.190000000000005
177,Low income countries,Central and Southern Asia,0.6422,Female,,Quintile 5,2015.0,37.45,52.75,65.72
178,Low income countries,Central and Southern Asia,0.6853,Male,,Quintile 1,2015.0,20.82,35.93,55.87
179,Low income countries,Central and Southern Asia,0.6873,Male,,Quintile 2,2015.0,24.83,43.72,62.44
180,Low income countries,Central and Southern Asia,0.7112,Male,,Quintile 3,2015.0,22.64,43.35,59.75
181,Low income countries,Central and Southern Asia,0.8546,Male,,Quintile 4,2015.0,37.940000000000005,50.88,75.02
182,Low income countries,Central and Southern Asia,0.9511,Male,,Quintile 5,2015.0,54.81,68.89999999999999,83.55
183,Low income countries,Central and Southern Asia,0.3089,Female,,Quintile 1,2015.0,7.9399999999999995,27.32,52.14
184,Low income countries,Central and Southern Asia,0.0126,Female,,Quintile 1,2015.0,0.29,2.0,6.08
185,Low income countries,Central and Southern Asia,0.1266,Female,,Quintile 1,2015.0,0.0,5.489999999999999,22.84
186,Low income countries,Central and Southern Asia,0.0813,Female,,Quintile 1,2015.0,4.75,6.18,26.83
187,Low income countries,Central and Southern Asia,0.3248,Female,,Quintile 1,2015.0,11.21,24.4,51.53
188,Low income countries,Central and Southern Asia,0.4509,Female,,Quintile 1,2015.0,25.69,28.810000000000002,63.57000000000001
189,Low income countries,Central and Southern Asia,0.0134,Female,,Quintile 1,2015.0,0.0,0.0,1.1900000000000002
190,Low income countries,Central and Southern Asia,0.1067,Female,,Quintile 1,2015.0,,,38.190000000000005
191,Low income countries,Central and Southern Asia,0.1866,Female,,Quintile 1,2015.0,1.13,17.25,52.15
192,Low income countries,Central and Southern Asia,0.02,Female,,Quintile 1,2015.0,,,0.0
193,Low income countries,Central and Southern Asia,0.0144,Female,,Quintile 1,2015.0,,3.4000000000000004,14.899999999999999
194,Low income countries,Central and Southern Asia,0.2567,Female,,Quintile 1,2015.0,22.18,33.79,59.919999999999995
195,Low income countries,Central and Southern Asia,0.1115,Female,,Quintile 1,2015.0,0.0,2.54,29.709999999999997
196,Low income countries,Central and Southern Asia,0.2315,Female,,Quintile 1,2015.0,0.0,4.82,25.28
197,Low income countries,Central and Southern Asia,0.1712,Female,,Quintile 1,2015.0,3.04,14.84,35.07
198,Low income countries,Central and Southern Asia,0.1494,Female,,Quintile 1,2015.0,0.0,5.8500000000000005,20.18
199,Low income countries,Central and Southern Asia,0.5615,Female,,Quintile 2,2015.0,,31.900000000000002,79.03
200,Low income countries,Central and Southern Asia,0.0,Female,,Quintile 2,2015.0,,0.0,18.7
201,Low income countries,Central and Southern Asia,0.1602,Female,,Quintile 2,2015.0,,7.24,32.37
202,Low income countries,Central and Southern Asia,0.2025,Female,,Quintile 2,2015.0,1.4200000000000002,24.89,37.980000000000004
203,Low income countries,Central and Southern Asia,0.4207,Female,,Quintile 2,2015.0,16.11,,59.64
204,Low income countries,Central and Southern Asia,0.0564,Female,,Quintile 2,2015.0,3.3300000000000005,2.45,9.58
205,Low income countries,Central and Southern Asia,0.1147,Female,,Quintile 2,2015.0,,,36.61
206,Low income countries,Central and Southern Asia,0.1247,Female,,Quintile 2,2015.0,4.82,12.67,40.94
207,Low income countries,Central and Southern Asia,0.0324,Female,,Quintile 2,2015.0,3.54,0.0,3.52
208,Low income countries,Central and Southern Asia,0.0884,Female,,Quintile 2,2015.0,2.71,,24.240000000000002
209,Low income countries,Central and Southern Asia,0.3189,Female,,Quintile 2,2015.0,15.4,24.01,54.31
210,Low income countries,Central and Southern Asia,0.0,Female,,Quintile 2,2015.0,0.0,0.51,2.3800000000000003
211,Low income countries,Central and Southern Asia,0.0464,Female,,Quintile 2,2015.0,,4.760000000000001,24.990000000000002
212,Low income countries,Central and Southern Asia,0.0721,Female,,Quintile 2,2015.0,0.0,12.17,10.620000000000001
213,Low income countries,Central and Southern Asia,0.0221,Female,,Quintile 2,2015.0,,,4.37
214,Low income countries,Central and Southern Asia,0.5126,Female,,Quintile 2,2015.0,7.04,13.04,28.000000000000004
215,Low income countries,Central and Southern Asia,0.0501,Female,,Quintile 2,2015.0,0.0,1.4500000000000002,20.75
216,Low income countries,Central and Southern Asia,0.0,Female,,Quintile 2,2015.0,0.0,0.0,0.8
217,Low income countries,Central and Southern Asia,0.0,Female,,Quintile 2,2015.0,0.0,0.0,4.37
218,Low income countries,Central and Southern Asia,0.3916,Female,,Quintile 2,2015.0,6.950000000000001,53.32,68.17999999999999
219,Low income countries,Central and Southern Asia,0.1626,Female,,Quintile 2,2015.0,12.34,,31.89
220,Low income countries,Central and Southern Asia,0.3636,Female,,Quintile 2,2015.0,14.78,,30.9
221,Low income countries,Central and Southern Asia,0.33,Female,,Quintile 2,2015.0,20.04,33.019999999999996,33.46
222,Low income countries,Central and Southern Asia,0.0217,Female,,Quintile 2,2015.0,0.0,1.53,0.0
223,Low income countries,Central and Southern Asia,0.0496,Female,,Quintile 2,2015.0,4.12,1.92,7.82
224,Low income countries,Central and Southern Asia,0.0712,Female,,Quintile 3,2015.0,,,30.220000000000002
225,Low income countries,Central and Southern Asia,0.0542,Female,,Quintile 3,2015.0,,0.0,7.000000000000001
226,Low income countries,Central and Southern Asia,0.0766,Female,,Quintile 3,2015.0,1.23,7.03,25.929999999999996
227,Low income countries,Central and Southern Asia,0.0,Female,,Quintile 3,2015.0,0.0,0.0,9.049999999999999
228,Low income countries,Central and Southern Asia,0.2526,Female,,Quintile 3,2015.0,,,23.91
229,Low income countries,Central and Southern Asia,0.0,Female,,Quintile 3,2015.0,0.0,0.0,1.54
230,Low income countries,Central and Southern Asia,0.533,Female,,Quintile 3,2015.0,26.55,42.72,70.3
231,Low income countries,Central and Southern Asia,0.0026,Female,,Quintile 3,2015.0,0.0,5.66,4.79
232,Low income countries,Central and Southern Asia,0.1133,Female,,Quintile 3,2015.0,4.07,0.0,23.200000000000003
233,Low income countries,Central and Southern Asia,0.0913,Female,,Quintile 3,2015.0,,,14.549999999999999
234,Low income countries,Central and Southern Asia,0.0483,Female,,Quintile 3,2015.0,6.950000000000001,13.3,21.279999999999998
235,Low income countries,Central and Southern Asia,0.5587,Female,,Quintile 3,2015.0,10.4,26.69,31.35
236,Low income countries,Central and Southern Asia,0.1564,Female,,Quintile 3,2015.0,2.7,14.78,25.28
237,Low income countries,Central and Southern Asia,0.0609,Female,,Quintile 3,2015.0,,,
238,Low income countries,Central and Southern Asia,0.0786,Female,,Quintile 3,2015.0,0.61,11.25,16.89
239,Low income countries,Central and Southern Asia,0.018,Female,,Quintile 3,2015.0,1.7399999999999998,0.0,3.88
240,Low income countries,Central and Southern Asia,0.0216,Female,,Quintile 3,2015.0,0.33999999999999997,0.16,11.700000000000001
241,Low income countries,Central and Southern Asia,0.6325,Female,,Quintile 3,2015.0,25.05,51.24999999999999,70.77
242,Low income countries,Central and Southern Asia,0.1266,Female,,Quintile 3,2015.0,7.9799999999999995,9.520000000000001,19.06
243,Low income countries,Central and Southern Asia,0.2589,Female,,Quintile 3,2015.0,13.450000000000001,13.819999999999999,44.269999999999996
244,Low income countries,Central and Southern Asia,0.0517,Female,,Quintile 3,2015.0,3.65,2.74,0.0
245,Low income countries,Central and Southern Asia,0.0679,Female,,Quintile 3,2015.0,0.0,0.0,3.37
246,Low income countries,Central and Southern Asia,0.8398,Female,,Quintile 4,2015.0,,,
247,Low income countries,Central and Southern Asia,0.4041,Female,,Quintile 4,2015.0,,,
248,Low income countries,Central and Southern Asia,0.5318,Female,,Quintile 4,2015.0,,64.37,82.17999999999999
249,Low income countries,Central and Southern Asia,0.3235,Female,,Quintile 4,2015.0,,1.27,32.62
250,Low income countries,Central and Southern Asia,0.638,Female,,Quintile 4,2015.0,19.24,56.779999999999994,77.81
251,Low income countries,Central and Southern Asia,0.2368,Female,,Quintile 4,2015.0,7.26,35.58,51.76
252,Low income countries,Central and Southern Asia,0.0919,Female,,Quintile 4,2015.0,,,12.06
253,Low income countries,Central and Southern Asia,0.4517,Female,,Quintile 4,2015.0,,26.740000000000002,52.07000000000001
254,Low income countries,Central and Southern Asia,0.5172,Female,,Quintile 4,2015.0,,34.81,78.89
255,Low income countries,Central and Southern Asia,0.1687,Female,,Quintile 4,2015.0,7.53,13.98,34.28
256,Low income countries,Central and Southern Asia,0.0121,Female,,Quintile 4,2015.0,0.0,0.0,1.31
257,Low income countries,Central and Southern Asia,0.5462,Female,,Quintile 4,2015.0,39.01,51.580000000000005,79.81
258,Low income countries,Central and Southern Asia,0.0395,Female,,Quintile 4,2015.0,0.62,2.1,9.4
259,Low income countries,Central and Southern Asia,0.1027,Female,,Quintile 4,2015.0,,7.5,54.37
260,Low income countries,Central and Southern Asia,0.2648,Female,,Quintile 4,2015.0,5.89,22.37,40.77
261,Low income countries,Central and Southern Asia,0.2216,Female,,Quintile 4,2015.0,9.13,13.059999999999999,26.86
262,Low income countries,Central and Southern Asia,0.5576,Female,,Quintile 4,2015.0,17.740000000000002,29.299999999999997,37.05
263,Low income countries,Central and Southern Asia,0.183,Female,,Quintile 4,2015.0,10.290000000000001,25.6,36.46
264,Low income countries,Central and Southern Asia,0.2527,Female,,Quintile 4,2015.0,,11.559999999999999,21.52
265,Low income countries,Central and Southern Asia,0.054,Female,,Quintile 4,2015.0,3.26,3.65,
266,Low income countries,Central and Southern Asia,0.0748,Female,,Quintile 4,2015.0,0.0,3.9699999999999998,14.030000000000001
267,Low income countries,Central and Southern Asia,0.1131,Female,,Quintile 4,2015.0,0.8500000000000001,4.07,9.99
268,Low income countries,Central and Southern Asia,0.434,Female,,Quintile 4,2015.0,13.530000000000001,36.16,41.620000000000005
269,Low income countries,Central and Southern Asia,0.5013,Female,,Quintile 4,2015.0,,,81.46
270,Low income countries,Central and Southern Asia,0.5004,Female,,Quintile 4,2015.0,,,61.809999999999995
271,Low income countries,Central and Southern Asia,0.3447,Female,,Quintile 4,2015.0,,41.63,56.61000000000001
272,Low income countries,Central and Southern Asia,0.07,Female,,Quintile 4,2015.0,4.75,0.0,
273,Low income countries,Central and Southern Asia,0.0599,Female,,Quintile 4,2015.0,2.1,0.0,0.91
274,Low income countries,Central and Southern Asia,0.9423,Female,,Quintile 5,2015.0,,,
275,Low income countries,Central and Southern Asia,0.7327,Female,,Quintile 5,2015.0,56.169999999999995,53.169999999999995,85.72999999999999
276,Low income countries,Central and Southern Asia,0.7747,Female,,Quintile 5,2015.0,55.269999999999996,68.72,77.97
